Unnamed: 0,Title,ID,cleaned_text
63,"Eminem Announces New Album ‘The Death of Slim Shady (Coup De Grâce),’ Releasing This Summer",1cdekak,eminem announces new album death slim shady coup de grce releasing summer
64,"John Travolta landed 'Pulp Fiction' after playing board games, doing Quentin Tarantino's finances",1c9q7u3,john travolta landed pulp fiction playing board game quentin tarantino finance
65,"Kanye Plans to Launch 'Yeezy Porn,' Consulting with Stormy Daniels' Ex",1cbn8bw,kanye plan launch yeezy porn consulting stormy daniel ex
66,Jon Bon Jovi Says Bruce Springsteen Is Like a 'Big Brother': We're on a 'Whole Different Level of Friendship',1cegnw2,jon bon jovi say bruce springsteen like big brother whole different level friendship
67,Ashley Judd and Aloe Blacc help the White House unveil its national suicide prevention strategy,1cbn6id,ashley judd aloe blacc help white house unveil national suicide prevention strategy
68,"Actor Ashley Judd discusses overturned Weinstein conviction: ""Sexual violence is such a thief""",1cdtjo4,actor ashley judd discus overturned weinstein conviction sexual violence thief
69,David Beckham sues Mark Walhberg for $14 million as bitter gym feud reaches new heights,1ccatbb,david beckham sue mark walhberg million bitter gym feud reach new height
70,"Mad Max prequel Furiosa was originally developed as an anime spin-off, and has been ready for 15 years",1c9sm2s,mad max prequel furiosa originally developed anime spinoff ready year
71,Magic Johnson Details How He’s Defied the Odds Since 1991 HIV Diagnosis: 'I’ve Done My Part',1cf77db,magic johnson detail he defied odds since hiv diagnosis ive done part
72,"Mike Pinder, founding member and keyboardist of the Moody Blues, dies at 82",1cd2r43,mike pinder founding member keyboardist moody blue dy
73,Bruce Willis Gave Money to Armageddon Crew in Weekly Cash Giveaway,1cbgch3,bruce willis gave money armageddon crew weekly cash giveaway
74,Josh Duhamel Mourns Death of Stepdad Who 'Pulled' Him from 'Wrong Side of the Tracks Into a Life with Possibility',1cb77lf,josh duhamel mourns death stepdad pulled wrong side track life possibility
75,"The 12 Greatest Movies That Never Had a Sequel or a Remake
",1cc5osj,greatest movie never sequel remake
76,David Mamet Calls Hollywood’s DEI Initiatives “Garbage” & Says His Kids Are Not Nepo Babies: “They Earned It By Merit”,1car0hw,david mamet call hollywood dei initiative garbage say kid nepo baby earned merit
77,Céline Dion Says the Love of Her Kids Is a 'Gift' amid Her Struggle with Stiff-Person Syndrome,1cajbz4,cline dion say love kid gift amid struggle stiffperson syndrome
78,Shelter celebrates Taylor Swift album release with kitten listening party,1c9pchn,shelter celebrates taylor swift album release kitten listening party
79,Eminem Celebrates 16 Years of Sobriety by Showing Off His New Chip,1cav3no,eminem celebrates year sobriety showing new chip
80,"Nathan Fillion on why he’s so excited to play Green Lantern: “For a guy who likes to play flaws and flawed people, Guy Gardner is a gold mine”",1ccbzr9,nathan fillion he excited play green lantern guy like play flaw flawed people guy gardner gold mine
81,Ringo Starr says 'not a lot of joy' in the 1970 documentary 'Let It Be',1c9ph59,ringo starr say lot joy documentary let
82,O.J. Simpson's Cause of Death Revealed,1cdvjki,oj simpson cause death revealed
83,Rose McGowan Reacts to Harvey Weinstein's New York Conviction Overturning: 'We Know the Truth',1cf6j88,rose mcgowan reacts harvey weinsteins new york conviction overturning know truth
84,Kylie Minogue Says Her Vegas Residency Has Been 'Like Studio 54': 'It's an Absolute Party' (Exclusive,1ce029v,kylie minogue say vega residency like studio absolute party exclusive
85,Jennifer Aniston producing '9 to 5' remake with Oscar-winning 'Juno' writer Diablo Cody,1ccv287,jennifer aniston producing remake oscarwinning juno writer diablo cody
86,Kerry Washington Reflects on the Impact of Her Sexual Assault on Her Life: 'I Was Gaslit',1ca596s,kerry washington reflects impact sexual assault life gaslit
87,"Shirley MacLaine Is 'Feeling Good' as She Turns 90, Teases New Book About Her 'Wonderful Life'",1cc3aam,shirley maclaine feeling good turn tease new book wonderful life
88,Steve Carell To Star Opposite Tina Fey In Netflix Comedy Series ‘The Four Seasons’,1cc3nkr,steve carell star opposite tina fey netflix comedy series four season
89,"Tom Holland on Spider-Man 4 Plans: ‘We Have a Legacy to Protect’
",1cacj6d,tom holland spiderman plan legacy protect
90,"‘The Lord of the Rings’ Trilogy Returning to Theaters, Remastered and Extended",1ccwgbt,lord ring trilogy returning theater remastered extended
91,Tupac’s estate threatens to sue Drake over dis track using what appears to be late rapper’s AI-generated voice,1ccdv6s,tupacs estate threatens sue drake dis track using appears late rapper aigenerated voice
92,"Al Pacino, Dan Stevens to Play Troubled Priests in Exorcism Horror ‘The Ritual’ ",1cb8uiw,al pacino dan stevens play troubled priest exorcism horror ritual
93,Alien TV Show Set a Few Years Before Prometheus as Timeline Solidified,1cangmp,alien tv show set year prometheus timeline solidified
94,‘Sweet’ Success: Hozier Hits No. 1 on Billboard Hot 100 for First Time,1caga7z,sweet success hozier hit billboard hot first time
95,Jeremy Clarkson Reveals His Previous Dismissal Of Global Warming Was “Part Of His Comedy Creation”,1cf7n4f,jeremy clarkson reveals previous dismissal global warming part comedy creation
96,Bob Bakish Out as Paramount Global CEO,1ceq5ui,bob bakish paramount global ceo
97,"Encyclopedia Brown: A Story for My Brother, Philip Seymour Hoffman",1caopuf,encyclopedia brown story brother philip seymour hoffman
98,Eminem Dropping New Album The Death of Slim Shady This Summer,1cdgyj2,eminem dropping new album death slim shady summer
99,Nicki Minaj Throws Item Back into Crowd After Nearly Getting Hit by Object Onstage,1caes9s,nicki minaj throw item back crowd nearly getting hit object onstage
